Gene Family,Species with evidence
eL18,Arabidopsis.thaliana
eL19,Arabidopsis.thaliana
eL20,Arabidopsis.thaliana
eL22,Homo.sapiens
eL22,Mus.musculus
eL22,Drosophila.melanogaster
eL24,Saccharomyces.cerevisiae
eL24,Mus.musculus
eL34,Arabidopsis.thaliana
eL34,Drosophila.melanogaster
eL36,Arabidopsis.thaliana
eL36,Mus.musculus
eL42,Arabidopsis.thaliana
eL6,Saccharomyces.cerevisiae
eL6,Arabidopsis.thaliana
eL8,Saccharomyces.cerevisiae
eL8,Arabidopsis.thaliana
eL8,Homo.sapiens
eS1,Saccharomyces.cerevisiae
eS10,Homo.sapiens
eS10,Mus.musculus
eS17,Arabidopsis.thaliana
eS17,Homo.sapiens
eS21,Homo.sapiens
eS25,Arabidopsis.thaliana
eS27,Arabidopsis.thaliana
RPLP1,Arabidopsis.thaliana
RPLP2,Saccharomyces.cerevisiae
RPLP2,Arabidopsis.thaliana
uL1,Arabidopsis.thaliana
uL10,Arabidopsis.thaliana
uL13,Arabidopsis.thaliana
uL13,Mus.musculus
uL16,Arabidopsis.thaliana
uL22,Homo.sapiens
uL24,Homo.sapiens
uL29,Mus.musculus
uL30,Saccharomyces.cerevisiae
uL30,Arabidopsis.thaliana
uL30,Drosophila.melanogaster
uL30,Homo.sapiens
uL30,Mus.musculus
uL4,Arabidopsis.thaliana
uL5,Arabidopsis.thaliana
uL6,Saccharomyces.cerevisiae
uL6,Mus.musculus
uS11,Saccharomyces.cerevisiae
uS11,Arabidopsis.thaliana
uS13,Homo.sapiens
uS13,Mus.musculus
uS13,Homo.sapiens
uS17,Arabidopsis.thaliana
uS19,Arabidopsis.thaliana
uS2,Arabidopsis.thaliana
uS2,Homo.sapiens
uS4,Arabidopsis.thaliana
uS4,Saccharomyces.cerevisiae
uS4,Homo.sapiens
uS7,Drosophila.melanogaster